rpa;regiao;bairro;local;qtdzonas;endereco;latitude;longitude
1;CENTRO;Santo Antônio;Praça do Diário;1;Av. Dantas Barreto  Praça do Diário  poste nº C015004 ;-8064351;-34878176
1;CENTRO;Santo Antônio;Praça da República;1;Em frente ao Palacio do Campo das Princesas - Santo Antônio;-8060867;-34877560
1;CENTRO;São José;Forte Cinco Pontas;1;Praça das Cinco Pontas  s/n;-8071941;-34880949
1;CENTRO;São José;Conj. Habitacional Travessa do Gusmão;1;Conj. Habitacional Travessa do Gusmão  nº 91  CEP 50020-520;-80720875;-348866914
1;CENTRO;São José;Mercado São José ;6;Praça Dom Vital  s/n - São José;-8068499;-34877635
1;CENTRO;São José;Mercado de Santa Rita;5;Cais Santa Rita  600 - São José  Recife - PE  50020-340;-806845;-3487620
1;CENTRO;São José;Pátio de São Pedro - Casa do Carnaval;1;Pátio de São Pedro-Casa 52- Último Andar  (Externo);-8066952;-34878698
1;CENTRO;São José;Pátio de São Pedro - Acima da Casa 10;1;Pátio de São Pedro-Casa 10- Último Andar  (Externo);-8066938;-34879140
2;NORTE;Água Fria;Policliníca Salomão Kelner;1;Estrada Velha de Água Fria N. 1652 –  Água Fria;-8020760;-34895832
2;NORTE;Alto Santa Terezinha;Compaz Alto Santa Terezinha ;8;Avenida Aníbal Benévolo  S/N - Alto Santa Terezinha;-8010198;-34902956
2;NORTE;Bomba do Heméterio;Upinha Governador Eduardo Campos;1;Rua Jacob  160 - Bomba Do Hemetério;-8024194;-34899802
2;NORTE;Campina do Barreto;Policlínica Amaury Coutinho;1;Rua Iguatu  s/n - Campina do Barreto;-8015833;-34882142
2;NORTE;Encruzilhada;Mercado da Encruzilhada;8;Rua Dr. José Maria – Encruzilhada;-8037124;-34892196
2;NORTE;Hipódromo;Praça do Hipódromo ;1;Rua Fonseca Oliveira - Praça do Hipódromo;-8032168;-34886393
2;NORTE;Linha do Tiro;Upinha Dra. Fernanda Wanderley;1;Rua Uriel De Holanda  Lote II - Linha Do Tiro;-8005394;-34899989
3;NOROESTE;Brejo de Beberibe;Upinha Dom Hélder Câmera;1;Rua Grijalva Costa  9  - Brejo de Beberibe;-8002638;-34919213
